FRASE,SENTIMIENTO
Tardaron muy poco en atendernos.,Positivo
La carta virtual es difícil de entender.,Negativo
Las raciones parecen tapas de lo pequeñas que son.,Negativo
La relación calidad-precio es estupenda y la comida está buenísima.,Positivo
En el menú hay opción vegana y sin gluten.,Nuetra
El restaurante estaba lleno pero nos sirvieron rápido.,Positivo
El bar abre de 12:00 a 16:00.,Neutra
No me gustó porque todas las tapas tienen suplemento.,Negativo
Soy celíaca y se equivocaron con mi comida. Deberían tener mucho más cuidado.,Negativo
La comida es incríble para lo barata que es. Los camareros súper atentos.,Positivo
